"Title","Authors","Average_Rating","Ratings_Count","Language_Code","Num_Pages","Publication_Date","Publisher","Categories","Text_Reviews_Count","Theme"
"McCarthy's Bar: A Journey of Discovery in Ireland","Pete McCarthy",3.8,8819,"eng",338,2003,"St. Martin's Griffin","Travel",394,"Travel & Places"
"The Serpent's Shadow (Elemental Masters  #1)","Mercedes Lackey",3.99,8768,"en-US",394,2002,"Daw Books","Fiction",306,"Fiction"
"City of God","Augustine of Hippo/Henry Bettenson",3.92,8754,"eng",1186,2003,"Penguin Books Ltd","History",300,"History & Historical Fiction"
"The World's Religions","Huston Smith",4.07,8741,"eng",416,1991,"HarperOne","History",306,"History & Historical Fiction"
"The Wolf's Hour","Robert R. McCammon",4.06,8741,"eng",603,1990,"Pocket Books","Fiction",326,"Fiction"
"Marabou Stork Nightmares","Irvine Welsh",3.86,8726,"eng",288,1997,"W. W. Norton  Company","Fiction",267,"Fiction"
"Trout Fishing in America / The Pill vs. the Springhill Mine Disaster / In Watermelon Sugar","Richard Brautigan",4.15,8721,"eng",400,1989,"Houghton Mifflin/Seymour Lawrence","Fiction",380,"Fiction"
"Laughter in the Dark","Vladimir Nabokov",3.97,8717,"eng",292,2006,"New Directions","Fiction",477,"Fiction"
"Bras & Broomsticks (Magic in Manhattan  #1)","Sarah Mlynowski",3.73,8709,"en-GB",310,2006,"Delacorte Press","Juvenile Fiction",534,"Young Adult and Children Fiction"
"Naked Pictures of Famous People","Jon   Stewart",3.59,8703,"en-GB",164,1999,"Dey Street Books","Humor",417,"Fiction"
"Death Match","Lincoln Child",3.79,8699,"eng",388,2006,"Anchor Books","Fiction",410,"Fiction"
"The Female Brain","Louann Brizendine",3.83,8655,"eng",304,2006,"Morgan Road Books","Psychology",1203,"Social Sciences & Philosophy"
"Fullmetal Alchemist  Vol. 14 (Fullmetal Alchemist  #14)","Hiromu Arakawa/Akira Watanabe",4.59,8634,"eng",192,2007,"VIZ Media LLC","Comics & Graphic Novels",118,"Other"
"When I Was Puerto Rican","Esmeralda Santiago",4.02,8632,"eng",274,1994,"Vintage Books USA","Biography & Autobiography",560,"Biography & Autobiography"
"The Fixer","Bernard Malamud/Jonathan Safran Foer",3.96,8624,"eng",335,2004,"Farrar  Straus and Giroux","Fiction",409,"Fiction"
"Eight Men Out: The Black Sox and the 1919 World Series","Eliot Asinof/Stephen Jay Gould",4.03,8614,"en-US",336,2000,"Holt Paperbacks","Sports & Recreation",242,"Health, Personal Development & Relationships"
"It's Called a Breakup Because It's Broken: The Smart Girl's Break-Up Buddy","Greg Behrendt/Amiira Ruotola (-Behrendt)",4.02,8606,"eng",276,2006,"Harmony","Self-Help",670,"Health, Personal Development & Relationships"
"Empire (Empire  #1)","Orson Scott Card",3.43,8577,"en-US",352,2006,"Tor Books","Fiction",756,"Fiction"
"Journey to Ixtlan","Carlos Castañeda",4.12,8541,"eng",272,1991,"Washington Square Press","Body, Mind & Spirit",257,"Health, Personal Development & Relationships"
"Authentic Happiness: Using the New Positive Psychology to Realize Your Potential for Lasting Fulfillment","Martin E.P. Seligman",3.95,8515,"eng",336,2004,"Atria Books","Psychology",331,"Social Sciences & Philosophy"
"Female Chauvinist Pigs: Women and the Rise of Raunch Culture","Ariel Levy",3.68,8511,"en-US",236,2006,"Free Press","Social Science",765,"Social Sciences & Philosophy"
"Sandworms of Dune (Dune Chronicles #8)","Brian Herbert/Kevin J. Anderson",3.64,8486,"en-US",494,2007,"Tor Books","Fiction",273,"Fiction"
"Death's Acre: Inside the Legendary Forensic Lab the Body Farm Where the Dead Do Tell Tales","William M. Bass/Jon Jefferson",4.19,8481,"eng",320,2004,"Berkley","True Crime",451,"Mystery & Detective"
"Lives of Girls and Women","Alice Munro",3.99,8461,"eng",277,2001,"Vintage","Fiction",553,"Fiction"
"Fugitives and Refugees: A Walk in Portland  Oregon","Chuck Palahniuk",3.51,8460,"en-US",176,2003,"Crown Journeys/Crown Publishers/Crown Publishing Group/Random House","Travel",415,"Travel & Places"
"Already Dead (Joe Pitt  #1)","Charlie Huston",3.79,8447,"en-US",268,2005,"Del Rey","Fiction",631,"Fiction"
"1632","Eric Flint",4.04,8406,"eng",597,2006,"Baen Books","Fiction",638,"Fiction"
"Judy Moody Gets Famous! (Judy Moody  #2)","Megan McDonald/Peter H. Reynolds",4.04,8405,"eng",126,2003,"Candlewick Press","Juvenile Fiction",309,"Young Adult and Children Fiction"
"The Various Haunts of Men (Simon Serrailler #1)","Susan Hill",3.82,8361,"eng",438,2007,"Harry N. Abrams","Fiction",819,"Fiction"
"Before the Frost (Linda Wallander #1)","Henning Mankell/Ebba Segerberg",3.85,8359,"eng",375,2006,"Vintage Crime/Black Lizard","Fiction",483,"Fiction"
"The Consolation of Philosophy","Boethius/Victor Watts",3.98,8318,"eng",192,1999,"Penguin Classics","Literary Criticism",373,"Fiction"
"Henry and June: From A Journal of Love: The Unexpurgated Diary of Anaïs Nin  1931-1932","Anaïs Nin",3.9,8311,"eng",304,1990,"Mariner Books","Authors, American",449,"Biography & Autobiography"
"Go Down  Moses","William Faulkner",3.93,8289,"eng",365,1991,"Vintage","Fiction",370,"Fiction"
"Black Ice (Ice  #1)","Anne Stuart",3.71,8284,"eng",377,2005,"Mira Books","Fiction",628,"Fiction"
"Shampoo Planet","Douglas Coupland",3.5,8283,"eng",282,2008,"Scribner Book Company","Fiction",202,"Fiction"
"Moral Disorder and Other Stories","Margaret Atwood",3.63,8270,"eng",255,2006,"Nan A. Talese","Fiction",755,"Fiction"
"The March","E.L. Doctorow",3.8,8266,"eng",363,2006,"Random House Trade Paperbacks","Fiction",831,"Fiction"
"Youth in Revolt: The Journals of Nick Twisp","C.D. Payne",4.02,8257,"eng",512,2001,"Broadway Books","Fiction",793,"Fiction"
"In the Name of Jesus: Reflections on Christian Leadership","Henri J.M. Nouwen",4.34,8228,"en-US",120,1992,"Crossroad","Religion",410,"Religious & Spiritual"
"Wonderful Life: The Burgess Shale and the Nature of History","Stephen Jay Gould",4.12,8207,"eng",352,1990,"W. W. Norton & Company","Fiction",179,"Fiction"
"Right Ho  Jeeves (Jeeves  #6)","P.G. Wodehouse",4.32,8193,"eng",224,2006,"Hard Press","",443,"Other"
"My Uncle Oswald","Roald Dahl",3.89,8170,"eng",208,1986,"Penguin (Non-Classics)","Fiction",620,"Fiction"
"The Compleat Works of Wllm Shkspr (abridged)","Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield",4.44,8159,"eng",137,1994,"Applause Books","Drama",118,"Arts & Culture"
"Gun  With Occasional Music","Jonathan Lethem",3.77,8141,"eng",271,2003,"Mariner Books","Fiction",786,"Fiction"
"J.R.R. Tolkien: Artist and Illustrator","Wayne G. Hammond/Christina Scull/J.R.R. Tolkien",4.14,8140,"en-US",224,2000,"Mariner Books","Art",32,"Arts & Culture"
"Diary of a Spider","Doreen Cronin/Harry Bliss",4.25,8134,"en-US",40,2005,"HarperCollins","Juvenile Fiction",292,"Young Adult and Children Fiction"
"The Sisters: The Saga of the Mitford Family","Mary S. Lovell",3.97,8132,"eng",611,2003,"W.W. Norton & Company","Biography & Autobiography",589,"Biography & Autobiography"
"Dead Sleep","Greg Iles",4.05,8124,"eng",452,2002,"Berkley Books","Fiction",475,"Fiction"
"Breaking Point (Tom Clancy's Net Force  #4)","Steve Perry/Tom Clancy/Steve Pieczenik",3.7,8119,"eng",368,2000,"Berkley","Fiction",32,"Fiction"
"Beach Girls","Luanne Rice",4.06,8113,"eng",448,2004,"Bantam","Fiction",234,"Fiction"
"Mason & Dixon","Thomas Pynchon/Christophe Claro/Brice Matthieussent",4.07,8086,"eng",773,2004,"Picador USA","Fiction",602,"Fiction"
"The Journey to the East","Hermann Hesse/Hilda Rosner",3.7,8071,"eng",128,2003,"Picador","Fiction",360,"Fiction"
"The Spy Who Loved Me (James Bond  #10)","Ian Fleming",3.4,8053,"eng",198,2003,"Penguin Books","Adirondack Mountains (N.Y.)",460,"Travel & Places"
"Millie's Fling","Jill Mansell",3.75,8052,"en-GB",512,2001,"Headline Review","City girl",463,"Social Sciences & Philosophy"
"The Lord of the Rings: The Making of the Movie Trilogy","Brian Sibley/Ian McKellen",4.47,8051,"eng",192,2002,"Mariner Books","Performing Arts",34,"Arts & Culture"
"Midnight Predator","Amelia Atwater-Rhodes",4.02,8039,"eng",256,2003,"Laurel Leaf Library","Juvenile Fiction",177,"Young Adult and Children Fiction"
"Monkeewrench (Monkeewrench  #1)","P.J. Tracy",4.12,8031,"eng",421,2004,"G.P. Putnam's Sons","Fiction",618,"Fiction"
"Castaways of the Flying Dutchman (Flying Dutchman  #1)","Brian Jacques/Ian Schoenherr",3.98,8025,"eng",356,2003,"Firebird","Juvenile Fiction",261,"Young Adult and Children Fiction"
"The Complete Collected Poems","Maya Angelou",4.42,7983,"eng",273,1994,"Random House","Poetry",245,"International Literature & Poetry"
"An Unfinished Life: John F. Kennedy  1917-1963","Robert Dallek",4.07,7981,"en-US",849,2004,"Back Bay Books","Biography & Autobiography",307,"Biography & Autobiography"
"The Last American Man","Elizabeth Gilbert",3.81,7966,"eng",271,2003,"Riverhead Books","Biography & Autobiography",960,"Biography & Autobiography"
"Cravings (Undead #1.5; Moon #3.5)","Laurell K. Hamilton/MaryJanice Davidson/Eileen Wilks/Rebecca York",3.82,7965,"eng",358,2004,"Berkley Books","Fiction",188,"Fiction"
"The Will to Power","Friedrich Nietzsche/Walter Kaufmann/R.J. Hollingdale",4.05,7931,"eng",575,2011,"Vintage Books","Philosophy",132,"Social Sciences & Philosophy"
"Ada  or Ardor: A Family Chronicle","Vladimir Nabokov/Fatih Özgüven",4.15,7927,"eng",604,1990,"Vintage","Fiction",543,"Fiction"
"A Cavern of Black Ice (Sword of Shadows  #1)","J.V. Jones",3.87,7919,"eng",769,2005,"Tor Fantasy","Fiction",163,"Fiction"
"Faerie Tale","Raymond E. Feist",3.88,7908,"eng",490,1989,"Voyager","Fairy tales",349,"Fantasy & Science Fiction"
"Goddess of the Sea (Goddess Summoning  #1)","P.C. Cast",3.87,7847,"eng",368,2003,"Berkley Sensation","Fiction",439,"Fiction"
"The Cyberiad","Stanisław Lem/Michael Kandel/Daniel Mróz",4.18,7842,"en-US",295,2002,"Harcourt","Fiction",397,"Fiction"
"Let My People Go Surfing: The Education of a Reluctant Businessman","Yvon Chouinard",4.22,7838,"eng",272,2006,"Penguin Books","Business & Economics",681,"Education, Business & Economics"
"Betsy and Tacy Go Over the Big Hill (Betsy-Tacy  #3)","Maud Hart Lovelace/Lois Lenski",4.18,7809,"en-US",192,2000,"HarperCollins","Juvenile Fiction",186,"Young Adult and Children Fiction"
"Sexus (The Rosy Crucifixion  #1)","Henry Miller",3.98,7805,"eng",506,1994,"Grove Press","Fiction",251,"Fiction"
"Paris Spleen","Charles Baudelaire/Louise Varèse",4.3,7792,"eng",118,1970,"New Directions","Poetry",176,"International Literature & Poetry"
"Old School","Tobias Wolff",3.82,7772,"eng",196,2005,"Bloomsbury","Authors",826,"Biography & Autobiography"
"Amelia Bedelia Helps Out","Peggy Parish/Lynn Sweat",4.25,7764,"eng",64,2005,"Greenwillow Books","Juvenile Fiction",67,"Young Adult and Children Fiction"
"Star by Star (Star Wars: The New Jedi Order  #9)","Troy Denning",3.95,7740,"eng",605,2002,"Arrow","Life on other planets",108,"Fantasy & Science Fiction"
"The Complete Poems","William Blake/Alicia Suskin Ostriker",4.24,7738,"eng",1072,1977,"Penguin Classics","Literary Criticism",48,"Fiction"
"Demons Don't Dream (Xanth #16)","Piers Anthony",3.8,7737,"en-US",352,1994,"Tor Fantasy","Fiction",93,"Fiction"
"Don't Make Me Think: A Common Sense Approach to Web Usability","Steve Krug",4.25,7736,"en-US",201,2005,"New Riders Publishing","Computers",641,"Technology, Science & Animals"
"Dragonology (Ologies  #1)","Dugald A. Steer/Ernest Drake/Wayne Anderson/Helen Ward/Douglas Carrel",4.11,7726,"eng",32,2003,"Candlewick Press","Juvenile Nonfiction",221,"Young Adult and Children Fiction"
"One Hundred Demons","Lynda Barry",4.16,7703,"en-GB",224,2005,"Sasquatch Books","Comics & Graphic Novels",521,"Other"
"Islam: A Short History","Karen Armstrong",4.02,7660,"eng",230,2002,"Modern Library","Religion",448,"Religious & Spiritual"
"Fullmetal Alchemist  Vol. 11 (Fullmetal Alchemist  #11)","Hiromu Arakawa/Akira Watanabe",4.59,7655,"eng",192,2007,"VIZ Media LLC","Comics & Graphic Novels",129,"Other"
"Jamie's Italy","Jamie Oliver/David Loftus/Chris Terry",4.01,7653,"eng",320,2006,"Hachette Books","Cooking",90,"Health, Personal Development & Relationships"
"The Cave","José Saramago/Margaret Jull Costa",3.84,7649,"eng",307,2003,"Mariner Books","Fiction",548,"Fiction"
"The Maps of Tolkien's Middle-earth","Brian Sibley/John  Howe/J.R.R. Tolkien",4.14,7649,"eng",80,2003,"Houghton Mifflin Harcourt","Fiction",31,"Fiction"
"White Lies (Arcane Society  #2)","Jayne Ann Krentz",4.01,7604,"eng",371,2007,"G.P. Putnam's Sons","Fiction",328,"Fiction"
"New X-Men  Volume 1: E Is for Extinction","Grant Morrison/Frank Quitely",4.06,7602,"eng",144,2006,"Marvel","Comics & Graphic Novels",135,"Other"
"Skeleton Coast (Oregon Files  #4)","Clive Cussler/Jack Du Brul",4.12,7591,"eng",373,2006,"Berkley","Fiction",210,"Fiction"
"Love","Toni Morrison",3.75,7580,"eng",224,2005,"Vintage","Fiction",452,"Fiction"
"Goddess of Spring (Goddess Summoning  #2)","P.C. Cast",4.21,7579,"eng",360,2004,"Berkley Sensation","Fiction",446,"Fiction"
"Time and Again: Time Was / Times Change","Nora Roberts",3.77,7574,"eng",505,2001,"Silhouette","Man-woman relationships",194,"Health, Personal Development & Relationships"
"The Elements of Typographic Style","Robert Bringhurst",4.24,7564,"en-US",352,2004,"Hartley & Marks Publishers","Design",206,"Arts & Culture"
"Life of the Beloved: Spiritual Living in a Secular World","Henri J.M. Nouwen",4.28,7551,"eng",160,2002,"Crossroad","Religion",498,"Religious & Spiritual"
"Turtle Moon","Alice Hoffman",3.83,7545,"eng",275,2002,"Vintage","Mothers and sons",388,"Social Sciences & Philosophy"
"The War of the Flowers","Tad Williams",3.88,7519,"eng",828,2004,"DAW","Fiction",319,"Fiction"
"Dragons of a Vanished Moon (Dragonlance: The War of Souls  #3)","Margaret Weis/Tracy Hickman",3.91,7506,"eng",610,2003,"Wizards of the Coast","Fiction",82,"Fiction"
"Rebekah (Women of Genesis  #2)","Orson Scott Card",3.84,7487,"eng",416,2012,"Forge","Fiction",617,"Fiction"
"Under the Banner of Heaven: A Story of Violent Faith","Jon Krakauer",4,7481,"eng",399,2003,"Anchor Books","History",1022,"History & Historical Fiction"
"The World as Will and Representation  Vol. 1","Arthur Schopenhauer/Judith Norman/E.F.J. Payne/Alistair Welchman/Christropher Janaway",4.19,7475,"eng",534,1966,"Dover Publications","Philosophy",126,"Social Sciences & Philosophy"
"The Second Time Around","Mary Higgins Clark",3.75,7472,"eng",373,2004,"Pocket Books","Fiction",296,"Fiction"
"The Inimitable Jeeves (Jeeves  #2)","P.G. Wodehouse",4.24,7442,"eng",240,2000,"Penguin Books","Fiction",320,"Fiction"
"The Color of Her Panties (Xanth #15)","Piers Anthony",3.67,7374,"eng",342,1992,"Eos","Fiction",64,"Fiction"
"Shakespeare's Secret","Elise Broach",3.88,7373,"eng",256,2005,"Henry Holt & Company","Juvenile Fiction",645,"Young Adult and Children Fiction"
"The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships","Harriet Lerner",4.07,7368,"eng",255,1989,"William Morrow Paperbacks","Psychology",185,"Social Sciences & Philosophy"
"The Infinite Plan","Isabel Allende",3.72,7347,"eng",384,1994,"Harper Perennial","Fiction",300,"Fiction"
"Crime and Punishment","Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky",4.21,7343,"en-US",564,1993,"Vintage Classics","Fiction",730,"Fiction"
"Passage","Connie Willis",3.69,7331,"eng",780,2002,"Bantam","Fiction",753,"Fiction"
"The Luzhin Defense","Vladimir Nabokov/Michael Scammell",3.95,7305,"eng",256,1990,"Vintage","Fiction",277,"Fiction"
"Laurell K. Hamilton's Anita Blake  Vampire Hunter: Guilty Pleasures vol 1","Laurell K. Hamilton/Stacie Ritchie/Jessica Ruffner/Brett Booth",4.17,7302,"eng",168,2007,"Marvel","Comics & Graphic Novels",250,"Other"
"The Death of Ivan Ilych And Other Stories","Leo Tolstoy/Hugh McLean",4.11,7300,"eng",304,2003,"Signet Classics","Fiction",266,"Fiction"
"The Master","Colm Tóibín",3.83,7299,"eng",339,2005,"Scribner","Fiction",771,"Fiction"
"The Janson Directive (Paul Janson  #1)","Robert Ludlum",3.86,7281,"eng",693,2003,"St. Martin's Paperbacks","Fiction",259,"Fiction"
"Bill Bryson's African Diary","Bill Bryson",3.44,7270,"eng",55,2002,"Broadway Books","Biography & Autobiography",499,"Biography & Autobiography"
"Burr","Gore Vidal",4.07,7265,"eng",430,2000,"Vintage","Vice-Presidents",526,"Biography & Autobiography"
"The Missionary Position: Mother Teresa in Theory and Practice","Christopher Hitchens",4.06,7240,"eng",98,1997,"Verso","Biography & Autobiography",571,"Biography & Autobiography"
"Drop Dead Gorgeous (Blair Mallory  #2)","Linda Howard",3.93,7227,"eng",347,2006,"Ballantine Books","Fiction",301,"Fiction"
"Wampeters  Foma and Granfalloons","Kurt Vonnegut Jr.",3.79,7213,"en-US",318,1999,"Dial Press Trade Paperback","Fiction",139,"Fiction"
"The Body Artist","Don DeLillo",3.24,7201,"eng",128,2002,"Scribner","Fiction",500,"Fiction"
"Escape from Freedom","Erich Fromm",4.24,7201,"eng",301,1994,"Holt McDougal","Political Science",292,"Education, Business & Economics"
"Good-Bye  Chunky Rice","Craig Thompson",3.8,7182,"eng",125,2006,"Pantheon Books","Comics & Graphic Novels",468,"Other"
"Power vs. Force","David R. Hawkins",4.2,7167,"en-US",341,2002,"Hay House","Body, Mind & Spirit",376,"Health, Personal Development & Relationships"
"The Marriage of Heaven and Hell","William Blake",4.24,7163,"eng",48,1994,"Dover Publications","Art",245,"Arts & Culture"
"Twilight of the Idols/The Anti-Christ","Friedrich Nietzsche/Michael Tanner",4.16,7149,"en-GB",208,1990,"Penguin Classics","Philosophy",143,"Social Sciences & Philosophy"
"The Love of the Last Tycoon","F. Scott Fitzgerald",3.65,7135,"eng",169,1995,"Scribner","Fiction",386,"Fiction"
"Deck the Halls","Mary Higgins Clark/Carol Higgins Clark",3.61,7116,"eng",292,2001,"Pocket Books","Fiction",276,"Fiction"
"An American Childhood","Annie Dillard",3.91,7102,"eng",255,2013,"Harper Perennial","Biography & Autobiography",604,"Biography & Autobiography"
"Hitty  Her First Hundred Years","Rachel Field/Dorothy P. Lathrop",3.86,7097,"eng",256,1998,"Aladdin","Juvenile Fiction",292,"Young Adult and Children Fiction"
"The Echo Maker","Richard Powers",3.38,7087,"eng",451,2006,"Farrar Straus Giroux","Fiction",1119,"Fiction"
"Travels","Michael Crichton",3.95,7084,"eng",400,2002,"Harpperen","Biography & Autobiography",514,"Biography & Autobiography"
"The Collected Stories","Eudora Welty",4.23,7084,"eng",622,1982,"Mariner Books","Literary Collections",202,"Fiction"
"Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South","Anne Moody",4.13,7072,"eng",424,2004,"Delta","Biography & Autobiography",453,"Biography & Autobiography"
"The Grapes of Wrath","John Steinbeck/Robert DeMott/Mick Wiggins",3.96,7044,"eng",464,2006,"Penguin Classics","Fiction",639,"Fiction"
"Humboldt's Gift","Saul Bellow",3.86,6995,"eng",487,1996,"Penguin Classics","Fiction",378,"Fiction"
"The White Castle","Orhan Pamuk/Victoria Rowe Holbrook",3.46,6994,"eng",161,2000,"Faber and Faber","Civil law",431,"Education, Business & Economics"
"Ward No. 6 and Other Stories","Anton Chekhov/David Plante/Constance Garnett",4.33,6988,"en-US",400,2003,"Barnes  Noble Classics","Fiction",173,"Fiction"
"Vampires Don't Wear Polka Dots (The Adventures of the Bailey School Kids  #1)","Debbie Dadey/Marcia Thornton Jones/John Steven Gurney",3.81,6983,"en-US",80,1991,"Scholastic Paperbacks","Juvenile Fiction",215,"Young Adult and Children Fiction"
"Stiff Upper Lip  Jeeves (Jeeves  #13)","P.G. Wodehouse",4.29,6970,"eng",211,2002,"Everyman's Library","Humorous stories",310,"Other"
"Black Sunday","Thomas  Harris",3.6,6969,"eng",311,2005,"NAL","Fiction",173,"Fiction"
"The Swords of Night and Day (The Drenai Saga  #11)","David Gemmell",4.32,6954,"eng",640,2005,"Corgi","Drenai (Imaginary place)",93,"Fantasy & Science Fiction"
"Strange Pilgrims","Gabriel García Márquez",4.03,6952,"eng",208,2006,"Vintage","Fiction",422,"Fiction"
"Shadow of the Almighty: The Life and Testament of Jim Elliot","Elisabeth Elliot",4.4,6946,"eng",272,2009,"HarperOne","Religion",182,"Religious & Spiritual"
"The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America","Russell Shorto",4.14,6919,"eng",384,2005,"Vintage","History",777,"History & Historical Fiction"
"Human Croquet","Kate Atkinson",3.72,6917,"eng",352,1999,"Picador","Fiction",548,"Fiction"
"Poppy","Avi",3.96,6894,"eng",163,2005,"Scholastic","Children's stories",501,"Young Adult and Children Fiction"
"A Star Called Henry","Roddy Doyle",3.84,6885,"eng",342,2000,"Vintage","Dublin (Ireland)",438,"Travel & Places"
"The Secret Seven (The Secret Seven  #1)","Enid Blyton",3.87,6881,"eng",144,2006,"Hodder","Adventure fiction",187,"Fantasy & Science Fiction"
"Allegiance (Star Wars)","Timothy Zahn",3.99,6874,"eng",324,2007,"Del Rey","Fiction",280,"Fiction"
"Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager","H.G. Bissinger",3.88,6870,"eng",287,2006,"Mariner Books","Sports & Recreation",237,"Health, Personal Development & Relationships"
"Chosen By God: Know God's Perfect Plan for His Glory and His Children","R.C. Sproul",4.34,6861,"eng",208,1994,"Tyndale Momentum","Religion",205,"Religious & Spiritual"
"The Polysyllabic Spree","Nick Hornby",3.73,6828,"eng",143,2004,"McSweeney's","Literary Criticism",621,"Fiction"
"Earthquake in the Early Morning (Magic Tree House  #24)","Mary Pope Osborne/Salvatore Murdocca",3.94,6816,"eng",96,2010,"Random House for Young Readers","Juvenile Fiction",227,"Young Adult and Children Fiction"
"Savage Beauty: The Life of Edna St. Vincent Millay","Nancy Milford",4.01,6799,"eng",608,2002,"Random House Trade","Biography & Autobiography",483,"Biography & Autobiography"
"Spellbound (Once Upon  #1)","Nora Roberts",3.8,6798,"eng",96,2005,"Jove","Fiction",162,"Fiction"
"Murder in the Cathedral","T.S. Eliot",3.76,6782,"eng",148,1964,"Harcourt  Brace Jovanovich/Harvest","Drama",309,"Arts & Culture"
"The Smoke Thief (Drakon  #1)","Shana Abe",3.74,6780,"eng",352,2006,"Bantam","Fiction",566,"Fiction"
"Molloy  Malone Dies  The Unnamable (The Trilogy  #1-3)","Samuel Beckett",4.28,6775,"eng",512,1997,"Everyman's Library","Fiction",217,"Fiction"
"The Wise Woman","Philippa Gregory",3.32,6774,"eng",640,2002,"HarperCollins Publishers","Great Britain",529,"Travel & Places"
"The Turn of the Screw and The Aspern Papers","Henry James/Anthony Curtis",3.79,6769,"eng",272,2003,"Penguin Books","Fiction",270,"Fiction"
"The Farming of Bones","Edwidge Danticat",4.07,6757,"eng",312,1999,"Penguin Books","Fiction",612,"Fiction"
"Buried Child","Sam Shepard",3.91,6746,"eng",120,2006,"Vintage","Drama",178,"Arts & Culture"
"Fell","Warren Ellis/Ben Templesmith",4.16,6740,"eng",128,2007,"Image Comics","Comics & Graphic Novels",283,"Other"
"The Naked Ape: A Zoologist's Study of the Human Animal","Desmond Morris",3.95,6724,"eng",256,1999,"Delta","Science",325,"Technology, Science & Animals"
"Fury","Salman Rushdie",3.29,6711,"eng",272,2002,"Vintage","Anger",354,"Health, Personal Development & Relationships"
"Julius  the Baby of the World","Kevin Henkes",4.28,6697,"eng",32,1995,"Greenwillow Books","Juvenile Fiction",348,"Young Adult and Children Fiction"
"Travels in the Scriptorium","Paul Auster",3.23,6688,"eng",145,2007,"Henry Holt & Company","Fiction",562,"Fiction"
"A Christmas Carol","Charles Dickens",4.05,6671,"eng",112,2012,"Penguin Books","Fiction",490,"Fiction"
"The God of Small Things","Arundhati Roy",3.94,6667,"en-US",321,1997,"HarperCollins","Fiction",722,"Fiction"
"Gifts (Annals of the Western Shore  #1)","Ursula K. Le Guin",3.7,6666,"eng",286,2006,"Harcourt","Juvenile Fiction",606,"Young Adult and Children Fiction"
"The Mirror of Merlin","T.A. Barron",4.06,6661,"eng",288,2002,"Ace","Fiction",54,"Fiction"
"Rebellion (The MacGregors  #0.1)","Nora Roberts",3.92,6650,"eng",395,2006,"Silhouette","Fiction",150,"Fiction"
"In the Beginning...Was the Command Line","Neal Stephenson",3.8,6638,"en-US",151,1999,"William Morrow Paperbacks","Computers",329,"Technology, Science & Animals"
"The Denial of Death","Ernest Becker/Sam Keen/Daniel Goleman",4.16,6599,"eng",336,1997,"Free Press","Philosophy",635,"Social Sciences & Philosophy"
"Catwings (Catwings #1)","Ursula K. Le Guin/S.D. Schindler",4.09,6598,"eng",40,2003,"Orchard Books","Juvenile Fiction",600,"Young Adult and Children Fiction"
"The Girl in the Flammable Skirt","Aimee Bender",3.88,6591,"eng",192,1999,"Anchor","Fiction",661,"Fiction"
"Nigella Bites: From Family Meals to Elegant Dinners--Easy  Delectable Recipes for Any Occasion","Nigella Lawson/Francesca Yorke",4,6587,"eng",254,2002,"Hachette Books","Cooking",71,"Health, Personal Development & Relationships"
"Hackers & Painters: Big Ideas from the Computer Age","Paul Graham/Allen Noren/Matt Hutchinson",4.05,6572,"eng",272,2004,"O'Reilly Media","Computers",302,"Technology, Science & Animals"
"Letters from the Earth: Uncensored Writings","Mark Twain/Bernard DeVoto/Henry Nash Smith",4.21,6568,"eng",321,2004,"Harper Perennial Modern Classics","Literary Criticism",376,"Fiction"
"A Kiss Before Dying","Ira Levin/Otto Penzler",3.94,6548,"eng",242,2003,"Carroll & Graf Publishers","Fiction",556,"Fiction"
"A River Runs Through It","Norman Maclean/Barry Moser",4.17,6495,"eng",168,1989,"University of Chicago Press","Biography & Autobiography",388,"Biography & Autobiography"
"The Sunset Limited","Cormac McCarthy",3.96,6494,"eng",160,2006,"Vintage","Drama",562,"Arts & Culture"
"The Stephen King Universe: A Guide to the Worlds of the King of Horror","Stanley Wiater/Christopher Golden/Hank Wagner",4.15,6471,"en-US",478,2001,"Renaissance Books","Literary Criticism",44,"Fiction"
"The Wars","Timothy Findley",3.88,6467,"eng",218,2001,"Faber and Faber","Fiction",245,"Fiction"
"Coin Locker Babies","Ryū Murakami/Stephen Snyder",3.68,6440,"eng",393,2002,"Kodansha","Fiction",298,"Fiction"
"The Broken Wings","Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris",3.92,6432,"eng",132,2003,"Citadel","",517,"Other"
"Lost Illusions (La Comédie Humaine)","Honoré de Balzac/Ellen Marriage/George Saintsbury",4.16,6422,"eng",656,2006,"Dodo Press","Fiction",161,"Fiction"
"Who Will Run the Frog Hospital?","Lorrie Moore",3.79,6419,"eng",160,2004,"Vintage","Juvenile Fiction",628,"Young Adult and Children Fiction"
"Either/Or: A Fragment of Life","Søren Kierkegaard/Victor Eremita/Alastair Hannay",4.17,6405,"eng",640,1992,"Penguin Classics","Philosophy",127,"Social Sciences & Philosophy"
"Songmaster","Orson Scott Card",3.74,6399,"en-US",352,2002,"Orb Books","Fiction",286,"Fiction"
"Why I Write","George Orwell",4.03,6389,"eng",120,2005,"Penguin Books","Language Arts & Disciplines",541,"Education, Business & Economics"
