"Title","Authors","Average_Rating","Ratings_Count","Language_Code","Num_Pages","Publication_Date","Publisher","Categories","Text_Reviews_Count","Theme"
"Persuasion","Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch",4.14,441462,"eng",249,2004,"Oxford University Press","Fiction",11308,"Fiction"
"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey/Jim Collins",4.1,431987,"eng",372,2004,"Free Press","Self-Help",7024,"Health, Personal Development & Relationships"
"Marley and Me: Life and Love With the World's Worst Dog","John Grogan",4.13,414947,"eng",291,2005,"William Morrow; 1ST edition","Labrador retriever",12116,"Technology, Science & Animals"
"Coraline","Neil Gaiman/Dave McKean",4.06,403622,"eng",162,2006,"William Morrow Paperbacks","Fiction",13096,"Fiction"
"Marked (House of Night  #1)","P.C. Cast/Kristin Cast",3.8,399152,"eng",306,2007,"St. Martin's Press","Juvenile Fiction",12748,"Young Adult and Children Fiction"
"Fight Club","Chuck Palahniuk",4.19,388782,"eng",218,2005,"W.W. Norton & Company (NYC)","Fiction",9654,"Fiction"
"The Client","John Grisham",4,367399,"eng",483,2010,"Delta","Fiction",1978,"Fiction"
"Into Thin Air: A Personal Account of the Mount Everest Disaster","Jon Krakauer",4.17,351406,"eng",368,1999,"Anchor Books","Biography & Autobiography",11701,"Biography & Autobiography"
"A Tree Grows in Brooklyn","Betty  Smith",4.26,345283,"eng",496,2006,"HarperCollins Publishers","Fiction",16114,"Fiction"
"The Pelican Brief","John Grisham",4,340714,"eng",400,2006,"Delta","Fiction",1942,"Fiction"
"Flowers for Algernon","Daniel Keyes",4.12,337596,"eng",311,2005,"Harvest Books","Fiction",9949,"Fiction"
"Extremely Loud and Incredibly Close","Jonathan Safran Foer",3.98,335477,"eng",326,2006,"Mariner Books","Fiction",19241,"Fiction"
"Love in the Time of Cholera","Gabriel García Márquez/Edith Grossman",3.91,324487,"eng",348,2003,"Vintage International","Fiction",13070,"Fiction"
"Inkheart (Inkworld  #1)","Cornelia Funke/Anthea Bell",3.88,324482,"eng",563,2005,"Scholastic Paperbacks","Juvenile Fiction",9360,"Young Adult and Children Fiction"
"Atlas Shrugged","Ayn Rand/Leonard Peikoff",3.69,322483,"eng",1168,1999,"Plume","Capitalism",14702,"Education, Business & Economics"
"Who Moved My Cheese?","Spencer Johnson/Kenneth H. Blanchard",3.8,311436,"eng",96,2002,"Vermilion","Self-Help",8421,"Health, Personal Development & Relationships"
"A Walk in the Woods: Rediscovering America on the Appalachian Trail","Bill Bryson",4.06,308840,"eng",397,2006,"Anchor Books","Sports & Recreation",14993,"Health, Personal Development & Relationships"
"She's Come Undone","Wally Lamb",3.88,294348,"eng",465,1998,"Pocket","Fiction",9096,"Fiction"
"Stardust","Neil Gaiman",4.08,283274,"eng",248,2006,"Harper Perennial","Fiction",11746,"Fiction"
"John Adams","David McCullough",4.06,282649,"eng",751,2001,"Simon & Schuster Paperbacks","Biography & Autobiography",5325,"Biography & Autobiography"
